model,mean_train_score,std_train_score,interval_lower_train,interval_upper_train,mean_test_score,std_test_score,interval_lower_test,interval_upper_test,overfitting_risk,p_value
lgbm,0.23572221772470164,0.0044358562309463,0.22241464903186275,0.24902978641754053,0.11772327938356737,0.0073885286823520266,0.09555769333651129,0.13988886543062345,High,5.274608801845118e-08
knn,0.4359249499675741,0.003535987939465378,0.42531698614917796,0.4465329137859702,0.2158566485355072,0.006014095796729628,0.1978143611453183,0.2338989359256961,High,2.8512865070243217e-10
naive,0.30969165821684136,0.006388844650876897,0.2905251242642107,0.32885819216947204,0.3085461152606103,0.006539039077897751,0.28892899802691707,0.32816323249430357,Low,0.8084347539333998
dt,0.23616546217192988,0.0026284317963938,0.22828016678274848,0.24405075756111128,0.13337216176553712,0.004539213349246208,0.1197545217177985,0.14698980181327576,High,7.057212489444688e-09
logit,0.006419489407086578,0.0012616993894235676,0.0026343912388158757,0.01020458757535728,0.006583157423419579,0.0008042317929625973,0.004170462044531788,0.00899585280230737,Low,0.8332551359862863
