model,mean_train_score,std_train_score,interval_lower_train,interval_upper_train,mean_test_score,std_test_score,interval_lower_test,interval_upper_test,overfitting_risk,p_value
lgbm,0.9606831864162535,0.002479732266411445,0.9532439896170192,0.9681223832154878,0.886752098072194,0.03686152066751865,0.7761675360696381,0.99733666007475,High,0.015816405264016578
knn,0.8887726574956597,0.011270804662036818,0.8549602435095492,0.9225850714817702,0.863612352803,0.04445812792836521,0.7302379690179044,0.9969867365880956,Low,0.32764406130310003
naive,0.8516079182438944,0.011702267077146708,0.8165011170124542,0.8867147194753345,0.8474601896050956,0.04536902942499142,0.7113531013301213,0.9835672778800699,Low,0.8671095996316878
dt,0.9032169460066373,0.00758669772642857,0.8804568528273515,0.925977039185923,0.8616131215729788,0.032725647583398784,0.7634361788227824,0.9597900643231752,High,0.062406557207658524
logit,0.8880254881996128,0.01110738242722513,0.8547033409179374,0.9213476354812882,0.873454757639099,0.04474511142305285,0.7392194233699404,1.0076900919082574,Low,0.5580884099157395
rf,0.8844885904630487,0.008246950853519794,0.8597477379024894,0.9092294430236081,0.8664295343468803,0.046660706085904564,0.7264474160891666,1.006411652604594,Low,0.4860333186943803
gbm,0.9496328077005668,0.0059871682502092025,0.9316713029499392,0.9675943124511944,0.8817040118212869,0.038843037334673786,0.7651748998172655,0.9982331238253083,High,0.02404253384905665
