model,mean_train_score,std_train_score,interval_lower_train,interval_upper_train,mean_test_score,std_test_score,interval_lower_test,interval_upper_test,overfitting_risk,p_value
lgbm,0.9346182949052505,0.007720762208530572,0.9114560082796588,0.9577805815308422,0.8825203326237654,0.0432161416842802,0.7528719075709248,1.012168757676606,High,0.07265904468586956
knn,0.8829640485750758,0.010909903075314236,0.8502343393491332,0.9156937578010185,0.8519039398250925,0.048009804968979816,0.7078745249181531,0.9959333547320319,Low,0.2696294493757712
naive,0.8466644433400312,0.01047151652283034,0.8152498937715402,0.8780789929085222,0.8397063853194847,0.04075821148591666,0.7174317508617347,0.9619810197772347,Low,0.755630674753868
dt,0.8736514065983293,0.011818040720397072,0.838197284437138,0.9091055287595206,0.8477231486611967,0.04374307746475768,0.7164939162669237,0.9789523810554697,Low,0.3086917049094165
logit,0.8910190428592472,0.009822082000078723,0.861552796859011,0.9204852888594833,0.8680408186183126,0.041588242272623685,0.7432760918004415,0.9928055454361837,Low,0.3370517578268205
rf,0.9143000365114066,0.007302485483418008,0.8923925800611525,0.9362074929616606,0.8712699371658813,0.043407260115602864,0.7410481568190728,1.0014917175126898,Low,0.11842983820034084
gbm,0.936884190854315,0.005557664053672262,0.9202111986932981,0.9535571830153318,0.8805816470463184,0.04314619447969953,0.7511430636072198,1.010020230485417,High,0.058852883054610367
