model,mean_train_score,std_train_score,interval_lower_train,interval_upper_train,mean_test_score,std_test_score,interval_lower_test,interval_upper_test,overfitting_risk,p_value
lgbm,1.0,0.0,1.0,1.0,0.9546659374863958,0.03633401131520212,0.8456639035407895,1.063667971432002,High,0.06709522250319938
knn,0.9706304774155597,0.008048984234928053,0.9464835247107756,0.9947774301203439,0.9317745744634539,0.04386506156696842,0.8001793897625487,1.0633697591643592,Low,0.15184494408784147
naive,0.9091244372272149,0.01554819841428636,0.8624798419843558,0.955769032470074,0.9104402289843716,0.06215049235164903,0.7239887519294246,1.0968917060393186,Low,0.9689947222474018
dt,0.9663253477459067,0.006789428917548094,0.9459570609932625,0.986693634498551,0.9599156545209176,0.02783428290871575,0.8764128057947704,1.0434185032470649,Low,0.6753748673003312
logit,0.9868418579647857,0.008597298280243826,0.9610499631240542,1.0126337528055172,0.9466506138174221,0.029651444264906828,0.8576962810227016,1.0356049466121426,High,0.05134425219903788
rf,0.9557400387249221,0.007336678564490798,0.9337300030314497,0.9777500744183945,0.9358492773497018,0.0358894600641125,0.8281808971573643,1.0435176575420393,Low,0.3341633371615873
gbm,0.9882575748014482,0.005735970900947647,0.9710496620986052,1.0054654875042912,0.9358358364894868,0.03479663836270052,0.8314459214013852,1.0402257515775883,High,0.038389264727110094
