model,mean_train_score,std_train_score,interval_lower_train,interval_upper_train,mean_test_score,std_test_score,interval_lower_test,interval_upper_test,overfitting_risk,p_value
lgbm,0.6888057885145588,0.0010081688800860893,0.6857812818743005,0.691830295154817,0.6819039599095944,0.003450013855542665,0.6715539183429664,0.6922540014762224,High,0.013749475195392241
knn,0.6887048914981029,0.0026610289467024905,0.6807218046579954,0.6966879783382104,0.6618918393715625,0.008100717311919563,0.6375896874358038,0.6861939913073212,High,0.0016643414155553084
naive,0.657777125943488,0.001395219878711224,0.6535914663073543,0.6619627855796217,0.6574533129839677,0.004294035277692903,0.644571207150889,0.6703354188170464,Low,0.8917292417974038
dt,0.6888985097566103,0.00207704408603387,0.6826673774985087,0.6951296420147118,0.6713084898522392,0.00639886557232332,0.6521118931352693,0.6905050865692092,High,0.003735386157436704
logit,0.6416877239340474,0.0013263239106750325,0.6377087522020223,0.6456666956660725,0.6401704415323523,0.005347802010634656,0.6241270355004482,0.6562138475642563,Low,0.6080683742560673
rf,0.6836546021542945,0.0032015879273178498,0.674049838372341,0.693259365936248,0.6734957053673357,0.012683867943350757,0.6354441015372835,0.711547309197388,Low,0.18737214676752859
gbm,0.6927136653774018,0.0007833495076973612,0.6903636168543097,0.6950637139004938,0.6745407143918746,0.003015722737253895,0.6654935461801129,0.6835878826036362,High,0.00014847346823863982
