model,mean_train_score,std_train_score,interval_lower_train,interval_upper_train,mean_test_score,std_test_score,interval_lower_test,interval_upper_test,overfitting_risk,p_value
lgbm,0.0004909992335884354,0.0003027147553207642,-0.00041714503237385723,0.0013991434995507279,0.0002759572266298724,0.0005519144532597448,-0.0013797861331493618,0.0019317005864091068,Low,0.5191343978710475
knn,0.25898797037368854,0.0049698356572137545,0.24407846340204728,0.2738974773453298,0.20749487555280863,0.005951970179730906,0.1896389650136159,0.22535078609200135,High,1.310929228669002e-06
naive,0.28912992125680825,0.0022666218082526427,0.28233005583205034,0.29592978668156616,0.28839166693937374,0.012424621473399466,0.25111780251917537,0.3256655313595721,Low,0.9122325237538909
dt,0.05750133995574112,0.008581967177829853,0.03175543842225156,0.08324724148923068,0.04299546630613805,0.008595102431916883,0.017210159010387402,0.0687807736018887,High,0.04395324517692328
logit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,
rf,0.06509155462988875,0.023784255524758838,-0.006261211944387765,0.13644432120416528,0.052155126532152395,0.01599574160936239,0.0041679017040652175,0.10014235136023958,Low,0.39668528255338376
gbm,0.2745219793558976,0.008207202899423035,0.24990037065762852,0.29914358805416674,0.13299656493930778,0.010103794942201387,0.10268518011270361,0.16330794976591195,High,3.562704242952249e-08
