model,mean_train_score,std_train_score,interval_lower_train,interval_upper_train,mean_test_score,std_test_score,interval_lower_test,interval_upper_test,overfitting_risk,p_value
lgbm,0.9573803473877863,0.001411404679698334,0.9531461333486914,0.9616145614268813,0.8930529341652182,0.005005824486043211,0.8780354607070886,0.9080704076233479,High,4.2396647829027675e-06
knn,0.9999999240130002,6.205218147249528e-08,0.9999997378564558,1.0000001101695446,0.8352335443952734,0.009019058692086013,0.8081763683190154,0.8622907204715314,High,3.349932352644924e-06
dt,0.8754304657423816,0.0017832579247795877,0.8700806919680428,0.8807802395167204,0.815294885140528,0.008237865055574762,0.7905812899738036,0.8400084803072523,High,7.799432179061324e-05
linear,0.819935266440508,0.0017191835858487987,0.8147777156829615,0.8250928171980544,0.8185979984488769,0.006721168408711855,0.7984344932227414,0.8387615036750125,Low,0.7173184609894722
rf,0.9975810727347978,3.211014868369424e-05,0.9974847422887467,0.9976774031808489,0.8745347928390206,0.0059289423320260425,0.8567479658429424,0.8923216198350987,High,2.012535123837132e-06
gbm,0.9532437586739595,0.0010236008714807198,0.9501729560595173,0.9563145612884016,0.8896737681513033,0.00437480444736567,0.8765493548092063,0.9027981814934003,High,3.5003561876730756e-06
