model,mean_train_score,std_train_score,interval_lower_train,interval_upper_train,mean_test_score,std_test_score,interval_lower_test,interval_upper_test,overfitting_risk,p_value
lgbm,0.8743064163043813,0.012506256463497347,0.8367876469138893,0.9118251856948734,0.8217374175120655,0.044360658037824525,0.688655443398592,0.9548193916255391,High,0.07563239682711867
knn,0.8300607406037059,0.012856755132965659,0.791490475204809,0.8686310060026029,0.8104501132670145,0.043583238596325256,0.6797003974780388,0.9411998290559903,Low,0.4299686002008621
naive,0.7823025930379551,0.014691608538119946,0.7382277674235953,0.826377418652315,0.7682458386683739,0.0460364489142966,0.6301364919254842,0.9063551854112637,Low,0.5869335664743536
dt,0.8153189652514413,0.015117706917571867,0.7699658444987257,0.8606720860041569,0.8118881118881118,0.03967608389818168,0.6928598601935668,0.9309163635826568,Low,0.8777777986301589
logit,0.8490229087657634,0.011243222208400372,0.8152932421405622,0.8827525753909645,0.8272825765783512,0.04315586974799663,0.6978149673343613,0.9567501858223412,Low,0.37860648752139997
rf,0.851125088644282,0.007772897675705696,0.827806395617165,0.8744437816713991,0.8216980202895694,0.0471674556897104,0.6801956532204382,0.9632003873587006,Low,0.28247136999880995
gbm,0.880623439089816,0.010872951444581896,0.8480045847560703,0.9132422934235617,0.8413769329262287,0.04429439817161281,0.7084937384113903,0.9742601274410672,Low,0.15264067213220675
