model,mean_train_score,std_train_score,interval_lower_train,interval_upper_train,mean_test_score,std_test_score,interval_lower_test,interval_upper_test,overfitting_risk,p_value
lgbm,0.9048506151142355,0.00926493765462287,0.8770558021503668,0.9326454280781041,0.8231655668275387,0.04041319526691585,0.7019259810267912,0.9444051526282863,High,0.013970431505332195
knn,0.8630629297320629,0.009528130580339344,0.8344785379910449,0.8916473214730809,0.8286811779769525,0.02852732654476124,0.7430991983426688,0.9142631576112362,High,0.07225590126452427
naive,0.8023210927142108,0.012228010388120695,0.7656370615498487,0.839005123878573,0.7963853048360091,0.016149425612297385,0.747937027999117,0.8448335816729012,Low,0.575149657234585
dt,0.8153189652514413,0.015117706917571867,0.7699658444987257,0.8606720860041569,0.8118881118881118,0.03967608389818168,0.6928598601935668,0.9309163635826568,Low,0.8777777986301589
logit,0.8486714149169057,0.01099187715453006,0.8156957834533155,0.8816470463804958,0.830089628681178,0.04579296292508787,0.6927107399059144,0.9674685174564416,Low,0.4698806247787821
rf,0.891503715351648,0.00418845662490564,0.8789383454769311,0.9040690852263649,0.8315276273022751,0.043998910861428576,0.6995308947179895,0.9635243598865608,High,0.05229668882406914
gbm,0.9002867449819629,0.008416021924552207,0.8750386792083064,0.9255348107556195,0.8372205259529203,0.041854885864921205,0.7116558683581566,0.9627851835476839,High,0.03794396252878151
